Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
4,69,No,5,7
1,97,Yes,6,4
5,67,No,9,9
4,92,No,4,8
7,57,No,9,3
5,85,No,6,1
1,55,No,5,4
6,57,Yes,6,7
7,94,No,4,0
9,56,No,5,7
6,89,Yes,8,4
5,70,No,8,2
1,56,No,4,9
6,97,Yes,8,1
1,84,No,6,8
6,47,No,9,5
6,77,Yes,4,2
6,62,Yes,8,5
8,71,No,9,1
5,88,No,6,6
3,78,No,8,2
6,84,Yes,8,4
1,42,No,8,9
1,52,No,7,6
8,85,Yes,6,1
8,45,No,5,6
1,86,Yes,5,4
4,92,Yes,4,7
8,46,No,6,0
4,69,Yes,5,1
2,60,Yes,5,9
2,44,No,4,1
7,90,No,4,8
2,69,Yes,5,7
5,75,No,9,3
5,94,No,8,3
7,52,Yes,8,6
5,53,No,9,5
6,76,Yes,9,9
8,52,No,6,2
9,97,Yes,9,3
4,83,No,4,1
6,46,Yes,4,5
8,87,Yes,4,5
8,46,Yes,8,7
6,89,Yes,6,5
6,59,Yes,7,4
3,77,No,7,3
9,79,Yes,8,6
7,71,No,5,5
1,78,No,9,9
4,61,Yes,4,0
7,90,Yes,7,2
9,41,Yes,5,2
7,92,No,4,7
9,82,No,5,8
3,62,No,4,6
7,93,No,9,0
9,53,No,6,7
6,75,No,4,2
2,89,No,4,7
4,81,Yes,5,4
2,67,No,9,6
4,55,Yes,5,8
5,54,No,8,6
3,79,Yes,9,2
7,89,No,4,6
4,70,Yes,9,1
6,42,Yes,6,8
4,87,Yes,9,2
9,72,Yes,5,2
6,65,No,8,1
2,55,Yes,6,3
4,55,Yes,5,5
7,59,No,9,4
4,93,No,6,5
2,40,Yes,4,8
8,81,No,4,3
7,43,No,4,2
5,54,No,8,8
8,90,Yes,7,7
7,47,No,8,1
4,99,No,6,8
1,66,No,8,2
1,70,Yes,8,9
2,69,No,5,4
2,54,No,8,8
8,40,No,9,8
1,92,Yes,6,7
6,55,Yes,4,4
6,77,Yes,8,4
9,49,No,9,3
2,76,Yes,5,6
9,51,Yes,4,7
2,59,No,6,5
8,88,No,5,7
7,91,No,5,1
1,83,Yes,7,6
3,41,Yes,4,1
6,56,No,4,9
2,64,No,4,0
8,75,No,4,9
6,70,No,4,9
4,51,No,5,9
1,62,No,5,5
3,78,No,4,2
6,54,Yes,5,5
2,76,No,9,5
5,97,Yes,7,5
4,44,Yes,6,9
7,78,No,8,5
3,59,Yes,8,9
1,49,Yes,4,5
8,63,Yes,4,8
9,56,Yes,8,3
6,84,No,9,5
9,63,Yes,5,9
9,82,No,7,6
4,60,Yes,8,4
7,54,Yes,7,7
6,60,Yes,6,2
5,41,Yes,5,7
3,43,No,6,8
3,99,Yes,6,8
5,99,Yes,8,9
4,80,No,9,0
7,84,No,6,3
4,57,Yes,8,1
6,64,No,7,1
6,93,Yes,5,7
4,87,No,8,8
6,93,Yes,5,9
7,73,No,8,3
8,56,No,7,0
3,63,Yes,6,5
6,42,Yes,8,5
4,54,Yes,9,7
1,89,Yes,8,5
4,78,Yes,9,2
8,76,Yes,5,4
7,91,No,9,2
9,43,Yes,4,6
9,70,No,4,7
9,72,Yes,7,5
6,78,Yes,5,6
4,48,Yes,4,3
1,67,Yes,4,6
6,70,No,7,1
7,92,No,9,7
7,62,Yes,4,9
6,55,Yes,6,4
1,87,Yes,7,5
4,67,Yes,6,1
8,80,Yes,9,7
3,99,No,5,1
6,52,No,6,4
6,84,Yes,4,7
4,92,No,8,8
1,95,No,6,9
5,70,Yes,8,0
4,74,Yes,4,9
1,69,Yes,7,2
8,92,Yes,4,5
2,89,No,8,1
9,87,No,5,9
2,82,Yes,6,6
3,49,No,4,7
4,80,No,5,0
5,51,No,7,1
2,60,Yes,9,1
2,88,No,8,8
6,75,No,8,9
5,72,No,7,3
5,98,Yes,6,2
7,62,Yes,8,4
9,82,No,8,8
5,41,Yes,4,8
6,99,Yes,5,6
3,78,Yes,5,5
1,76,No,9,7
6,87,Yes,4,2
7,40,No,6,1
9,57,Yes,8,3
5,97,No,9,4
5,59,Yes,9,0
3,73,No,8,6
3,81,No,6,2
4,63,No,9,3
5,94,Yes,4,0
7,75,Yes,8,4
3,46,No,4,9
9,49,No,7,5
7,40,Yes,8,6
2,89,Yes,5,5
9,84,No,9,3
4,91,Yes,8,9
7,87,Yes,7,9
9,92,Yes,9,5
9,71,No,7,5
4,60,Yes,7,8
4,80,No,7,8
4,81,No,8,1
2,40,Yes,5,9
2,83,Yes,8,4
2,94,No,6,0
2,86,Yes,6,2
7,97,No,7,7
3,70,Yes,7,1
7,74,Yes,9,4
7,96,No,9,6
6,89,No,5,5
8,44,No,8,2
7,89,Yes,5,7
8,75,Yes,8,2
7,66,No,4,5
1,54,No,7,7
7,44,No,5,2
3,91,No,7,7
7,50,Yes,5,0
7,45,No,7,5
3,86,Yes,9,0
2,98,No,8,8
6,66,No,9,8
1,90,No,7,7
6,69,No,5,5
1,74,No,4,0
2,81,No,9,4
9,76,Yes,6,5
9,71,Yes,5,0
6,74,Yes,8,6
3,71,No,4,5
8,62,No,4,3
2,72,Yes,9,8
1,64,Yes,8,0
8,63,Yes,8,3
4,78,No,4,6
9,85,Yes,5,0
1,52,No,5,8
9,62,No,9,1
3,75,No,6,9
6,55,No,4,6
3,55,Yes,8,5
3,81,No,8,8
2,94,Yes,6,8
8,95,No,7,6
7,50,No,6,8
9,51,No,7,1
6,67,Yes,5,0
4,40,No,6,2
4,95,No,9,8
8,82,No,9,5
9,63,Yes,9,6
1,86,No,6,9
7,64,Yes,6,9
5,99,No,4,7
8,68,No,5,1
4,56,No,6,9
7,99,No,6,6
8,83,No,4,4
7,99,Yes,4,3
9,75,Yes,7,9
7,91,Yes,4,9
6,90,No,6,3
3,42,No,9,4
6,52,No,4,4
3,40,Yes,7,3
8,87,No,7,6
9,89,Yes,9,3
7,93,Yes,6,4
6,70,No,8,1
8,48,No,9,4
3,69,Yes,6,7
3,98,No,7,2
2,97,Yes,5,9
9,76,No,5,9
7,55,Yes,4,5
1,76,Yes,7,3
3,63,Yes,9,9
6,48,Yes,4,0
3,62,No,7,0
8,74,No,7,7
6,46,No,6,2
8,69,Yes,4,5
9,74,Yes,8,4
4,96,No,7,9
8,72,Yes,7,8
6,92,Yes,5,3
3,67,Yes,5,3
9,42,Yes,7,1
4,57,Yes,4,1
2,92,Yes,5,3
2,66,No,7,4
7,40,No,7,6
7,45,No,9,7
9,50,Yes,6,2
6,73,Yes,4,8
8,78,No,8,1
8,60,No,5,2
1,95,No,8,4
1,52,Yes,6,3
2,77,Yes,8,5
1,91,Yes,6,3
7,40,No,8,2
5,78,Yes,6,6
5,71,Yes,5,0
9,88,No,8,8
6,43,No,4,5
1,48,No,9,5
8,45,No,9,0
7,93,Yes,4,6
8,74,No,5,5
6,57,No,8,8
1,99,No,6,1
7,54,No,6,7
2,56,Yes,5,3
7,82,No,4,4
2,54,No,8,0
2,58,No,8,4
4,65,No,5,2
2,61,No,9,0
9,62,No,6,7
3,52,Yes,4,7
4,67,Yes,7,1
6,96,No,6,6
8,76,No,9,4
6,83,Yes,6,7
1,72,No,6,4
6,83,Yes,7,1
7,84,Yes,7,6
4,75,Yes,8,9
9,58,Yes,4,2
7,72,Yes,9,4
1,83,No,4,5
7,86,No,5,7
9,50,No,9,9
8,81,No,6,2
6,41,Yes,7,8
3,65,Yes,6,6
7,56,No,4,0
3,56,No,9,3
2,69,Yes,9,1
3,79,No,6,0
4,63,Yes,5,9
6,43,No,8,9
5,77,No,9,1
5,68,Yes,8,9
1,91,No,6,2
4,45,No,9,9
7,85,No,6,7
2,52,Yes,4,5
6,70,No,7,4
2,87,Yes,7,3
1,94,Yes,6,3
7,52,No,8,5
9,46,No,8,5
2,78,No,8,4
1,78,No,7,8
6,97,Yes,5,4
3,81,No,6,6
2,44,Yes,5,1
7,40,Yes,8,9
1,77,No,6,5
2,54,Yes,4,7
7,69,No,6,1
5,71,No,5,8
8,53,No,5,2
5,67,Yes,6,1
5,63,No,5,5
2,68,Yes,9,6
4,73,No,7,9
2,69,No,8,3
1,55,Yes,7,4
4,42,No,4,9
8,97,No,9,7
9,83,Yes,7,3
5,64,No,7,3
1,80,No,6,3
1,83,No,5,3
3,43,Yes,6,1
1,46,Yes,5,0
7,85,Yes,8,0
8,48,No,8,2
6,59,No,8,0
4,40,Yes,8,5
8,93,Yes,5,1
1,66,No,8,2
9,60,Yes,8,1
6,63,Yes,9,3
7,74,Yes,5,7
7,60,No,5,8
1,99,Yes,9,3
9,52,Yes,7,7
1,46,No,8,1
2,63,Yes,7,6
5,82,No,5,2
2,52,No,6,1
7,78,No,5,0
3,91,Yes,6,7
7,61,Yes,8,0
6,51,Yes,9,3
3,97,No,7,1
7,83,Yes,5,9
3,98,Yes,7,4
6,66,Yes,4,9
7,62,Yes,8,0
3,69,No,6,2
7,74,No,8,1
7,64,Yes,4,8
7,71,No,4,1
9,63,No,7,9
7,75,Yes,6,1
2,81,Yes,4,9
6,70,No,9,2
2,71,No,6,7
3,59,Yes,6,3
8,98,Yes,8,2
4,79,No,8,5
6,57,Yes,6,5
2,85,Yes,9,5
7,74,No,9,8
7,42,No,6,3
7,43,Yes,9,6
1,44,No,4,8
6,68,No,9,7
6,41,No,8,5
8,66,No,7,2
8,72,No,4,6
8,60,No,5,3
9,70,No,9,3
8,92,No,7,5
4,88,Yes,4,6
2,64,No,6,3
2,44,Yes,4,0
2,59,Yes,6,2
1,68,No,7,8
2,48,Yes,6,2
4,67,No,7,8
2,66,No,4,5
8,47,Yes,8,6
7,67,No,8,3
8,87,No,5,3
5,69,No,7,6
6,61,Yes,6,1
2,59,No,8,3
5,42,No,6,2
6,44,No,5,1
7,65,No,8,3
8,96,Yes,8,5
7,52,Yes,6,9
5,54,No,4,9
6,65,No,4,0
4,87,Yes,8,9
5,48,No,5,3
8,82,No,8,5
8,45,Yes,9,9
3,42,No,8,9
5,53,No,7,0
8,63,No,5,8
3,83,Yes,9,1
9,54,Yes,7,3
6,76,Yes,4,3
6,83,Yes,6,9
2,42,Yes,6,8
4,73,No,7,4
3,92,No,8,0
9,78,Yes,6,7
2,82,No,9,2
2,85,Yes,4,7
9,71,No,4,6
4,82,No,6,6
4,87,No,5,2
2,96,No,8,2
1,86,Yes,5,0
8,79,Yes,8,6
6,42,No,4,9
1,85,Yes,7,8
9,50,No,5,8
8,61,No,6,9
8,61,Yes,9,3
2,57,Yes,7,5
9,95,Yes,4,5
8,84,No,4,6
7,90,Yes,8,9
4,48,Yes,7,8
5,62,No,5,9
2,63,Yes,6,9
3,79,Yes,4,9
7,46,No,9,8
9,56,Yes,5,9
5,94,No,5,9
2,41,No,6,5
5,74,Yes,4,2
7,67,No,5,8
9,58,Yes,7,2
7,77,No,7,6
1,94,Yes,8,4
5,74,Yes,7,1
9,57,No,7,1
4,50,Yes,9,3
2,49,Yes,6,0
1,56,Yes,8,9
1,65,No,8,9
1,70,Yes,4,0
4,71,Yes,5,1
6,60,Yes,9,1
1,99,Yes,4,3
7,57,No,8,9
6,54,No,9,7
8,40,No,7,7
5,90,No,5,5
6,81,No,4,7
7,84,No,7,0
7,85,No,9,5
1,50,Yes,4,2
3,63,No,4,2
6,91,Yes,9,1
1,73,Yes,9,1
7,43,Yes,4,3
5,49,Yes,5,0
6,41,Yes,7,8
4,77,Yes,6,5
6,67,No,6,7
4,40,No,9,4
4,48,No,7,7
3,44,No,6,9
8,81,Yes,5,1
3,97,Yes,7,1
2,60,No,6,6
8,47,No,6,7
3,56,No,4,5
1,88,Yes,7,4
5,79,No,9,8
1,46,No,8,5
7,46,No,7,8
6,54,No,7,2
7,46,No,5,0
4,86,No,8,4
6,61,No,6,0
3,89,No,9,3
6,55,Yes,7,0
8,77,Yes,7,9
9,77,No,4,4
7,80,No,8,0
2,98,Yes,6,7
2,43,Yes,7,8
2,61,No,8,7
2,97,Yes,7,9
6,76,No,9,9
4,61,Yes,8,0
3,52,No,6,7
5,76,Yes,8,5
6,76,Yes,4,0
4,84,No,8,6
4,79,No,5,2
5,84,No,9,2
8,92,No,5,7
9,79,Yes,6,9
4,94,No,5,9
4,48,No,4,6
1,71,Yes,6,7
3,90,Yes,9,9
1,91,Yes,5,6
9,88,Yes,6,2
4,69,Yes,8,6
2,97,No,7,0
4,42,Yes,9,2
6,90,Yes,5,0
7,97,No,9,9
9,65,No,8,8
5,69,No,5,4
8,96,No,7,0
3,57,Yes,5,7
8,95,No,9,2
5,42,Yes,7,3
3,79,Yes,5,5
9,68,No,5,2
9,90,No,8,2
7,64,Yes,7,0
6,53,Yes,6,9
2,77,Yes,6,7
9,47,Yes,8,7
1,75,No,5,3
4,55,Yes,6,3
1,53,Yes,6,1
2,64,No,7,1
7,43,No,4,4
1,96,No,8,3
2,60,Yes,5,4
2,83,Yes,9,7
5,64,No,8,8
7,49,Yes,4,5
8,91,No,8,4
1,68,No,4,4
7,49,Yes,8,9
2,88,Yes,5,6
3,61,Yes,6,3
7,65,Yes,6,7
9,48,No,5,3
4,70,No,5,4
2,63,Yes,5,8
6,48,No,7,4
6,62,Yes,4,8
5,75,Yes,9,6
6,93,Yes,5,5
8,67,No,7,9
8,96,No,8,3
5,81,No,7,9
7,81,Yes,9,6
6,56,Yes,7,0
6,63,No,9,9
5,54,Yes,6,2
9,83,No,7,3
6,59,Yes,6,5
9,43,No,7,7
9,44,Yes,4,4
9,92,Yes,9,4
3,47,No,7,3
1,61,Yes,7,6
8,81,Yes,9,4
5,61,No,4,7
7,49,No,9,0
6,54,No,4,7
6,47,Yes,8,4
5,70,No,7,8
7,61,No,8,5
4,47,No,4,8
7,43,No,8,2
8,69,No,6,0
1,57,No,6,3
1,92,Yes,4,6
1,68,No,8,1
6,83,No,5,0
8,46,Yes,8,8
3,90,No,5,9
8,95,No,9,4
4,63,No,4,8
2,58,No,9,7
9,98,Yes,7,4
2,89,No,6,9
7,95,Yes,6,5
7,67,Yes,7,6
1,80,Yes,5,4
5,93,No,4,2
8,73,No,5,4
1,49,No,7,9
5,80,No,8,9
6,65,No,7,7
8,69,Yes,9,4
5,59,Yes,9,0
4,47,Yes,9,8
4,99,Yes,6,1
5,54,Yes,6,6
7,44,No,6,6
6,74,No,6,9
5,96,No,4,1
9,78,No,9,3
3,73,Yes,4,6
4,99,No,9,5
7,54,Yes,8,6
1,95,Yes,6,6
9,40,No,9,3
1,67,No,9,4
9,40,Yes,5,3
9,90,No,7,3
9,80,No,7,8
7,51,No,4,0
6,44,Yes,8,0
2,53,No,6,5
9,87,Yes,8,5
8,75,Yes,6,1
2,54,Yes,8,1
6,58,Yes,9,8
1,44,No,5,5
2,82,No,9,2
3,78,No,9,3
9,44,No,9,9
9,91,No,7,0
3,75,No,7,4
3,57,Yes,5,6
9,68,No,8,2
5,44,Yes,5,3
7,64,Yes,6,8
9,49,Yes,8,9
7,63,No,9,6
2,89,Yes,4,3
5,60,No,9,0
6,64,No,5,5
2,86,No,6,5
9,83,Yes,6,5
8,89,Yes,8,2
8,62,Yes,6,1
3,52,No,7,4
7,70,Yes,4,4
1,80,No,9,0
5,95,No,8,8
5,89,No,6,0
1,77,Yes,7,4
7,61,No,8,0
1,54,No,9,6
1,42,Yes,8,9
6,93,Yes,8,1
6,45,No,8,2
6,65,Yes,5,4
3,40,No,8,8
6,58,No,7,4
3,46,No,7,7
8,59,No,8,7
5,69,Yes,6,3
7,70,No,9,4
9,57,No,4,1
4,80,Yes,5,1
3,40,Yes,7,9
3,98,No,6,5
3,61,Yes,8,6
7,55,No,4,3
9,41,No,6,9
1,94,Yes,9,9
2,65,Yes,9,5
8,44,No,7,8
3,73,No,8,1
8,89,Yes,6,0
6,64,Yes,8,8
9,87,Yes,7,2
5,93,Yes,4,9
5,69,Yes,8,5
8,90,Yes,4,1
7,90,Yes,6,8
2,69,Yes,5,2
5,50,No,7,3
5,53,No,7,9
2,55,No,9,1
8,89,Yes,4,6
3,43,Yes,6,5
9,93,No,8,9
8,53,Yes,8,0
2,44,No,5,0
5,70,No,5,6
2,94,No,9,5
1,49,No,6,8
1,66,Yes,5,9
3,55,No,9,0
5,69,No,9,9
9,60,No,8,8
3,84,No,9,0
5,98,Yes,6,5
5,93,No,7,5
8,93,No,4,6
8,69,No,7,0
8,65,No,8,7
2,68,No,6,4
7,64,Yes,8,6
9,65,No,7,8
2,76,No,6,1
2,73,No,7,8
9,42,No,5,9
4,97,Yes,9,3
3,93,Yes,9,1
5,44,Yes,7,5
2,88,Yes,8,5
9,47,Yes,4,2
3,80,No,8,8
2,52,Yes,8,2
9,95,No,5,6
4,58,No,6,0
3,67,Yes,5,1
1,71,Yes,6,0
2,93,No,8,4
4,42,Yes,7,2
9,71,Yes,8,9
8,47,No,6,2
4,53,No,6,8
9,95,No,6,0
3,68,No,9,0
7,81,No,6,8
5,97,No,6,4
6,57,Yes,8,6
2,42,No,8,8
2,77,No,5,7
4,48,No,6,8
6,79,Yes,4,2
5,82,Yes,4,7
4,47,Yes,7,0
6,88,Yes,7,6
7,68,No,6,9
2,40,No,5,1
5,60,No,8,4
2,48,Yes,6,7
7,95,No,7,2
9,81,No,6,8
5,61,Yes,6,1
7,48,Yes,6,3
9,47,Yes,4,0
9,81,Yes,7,9
2,75,Yes,8,2
8,83,Yes,4,0
3,76,Yes,7,4
1,69,No,8,5
6,64,No,6,3
2,80,No,9,2
7,48,No,8,9
1,41,No,7,3
6,43,No,5,5
6,53,Yes,4,4
8,52,No,4,1
8,63,No,9,0
6,71,No,9,8
1,96,No,8,0
8,92,No,5,5
5,70,No,5,3
3,51,No,5,7
2,64,Yes,6,9
6,86,Yes,4,2
4,90,Yes,8,3
1,47,Yes,9,3
8,82,Yes,9,6
2,45,Yes,6,3
7,82,Yes,9,7
4,92,No,4,8
9,77,No,7,0
6,76,No,6,4
3,41,Yes,6,1
3,74,No,9,5
7,85,Yes,7,5
7,92,Yes,8,0
3,87,No,9,5
9,46,Yes,4,4
8,61,No,4,6
4,71,Yes,8,9
3,98,Yes,8,3
5,66,No,5,3
6,99,Yes,8,5
3,83,No,5,5
5,90,Yes,5,9
2,81,Yes,5,9
2,48,No,9,9
9,73,No,7,0
1,48,Yes,6,9
2,54,No,5,7
5,47,No,8,4
6,97,No,7,0
8,58,No,9,6
1,81,No,5,2
8,47,No,7,7
8,57,Yes,6,0
9,74,No,9,9
7,67,No,9,9
5,85,Yes,6,1
4,86,No,6,9
8,93,No,5,8
1,90,No,7,5
1,64,No,8,5
5,96,Yes,5,7
5,42,Yes,6,3
9,89,Yes,5,3
4,99,No,4,9
3,74,Yes,9,6
4,58,Yes,4,5
7,90,Yes,7,5
8,82,No,8,3
1,85,No,9,6
7,47,No,5,3
9,46,Yes,8,3
7,40,Yes,6,4
9,64,No,9,7
1,72,Yes,4,1
1,44,No,9,1
4,44,No,5,6
9,56,Yes,7,4
7,92,No,9,9
7,97,No,8,4
5,47,No,8,1
6,73,Yes,7,9
5,79,No,8,0
9,40,Yes,5,0
3,68,No,6,7
3,75,No,4,2
7,76,Yes,6,8
6,68,No,4,5
3,44,No,6,3
5,71,Yes,4,6
2,91,Yes,7,1
6,63,No,9,8
8,58,No,8,1
1,51,No,8,7
7,73,Yes,6,8
2,46,No,4,0
3,42,Yes,5,6
8,77,No,7,6
9,89,No,6,3
4,89,Yes,6,2
7,93,Yes,5,4
9,44,No,4,0
7,69,No,7,1
4,65,No,4,7
3,93,Yes,6,5
2,86,No,6,2
6,60,Yes,7,6
9,43,No,4,6
8,40,No,8,3
4,56,No,6,6
6,90,Yes,5,2
9,98,No,8,5
5,73,No,8,6
9,84,Yes,6,2
6,45,No,4,2
7,46,No,7,4
2,52,Yes,4,1
2,90,Yes,7,0
6,56,Yes,7,1
6,76,Yes,9,6
2,95,No,6,8
1,93,Yes,5,3
4,63,Yes,8,5
9,92,No,7,0
4,84,Yes,6,4
1,62,Yes,5,0
8,42,No,8,8
3,54,Yes,6,6
6,88,Yes,6,4
7,97,Yes,5,9
7,45,No,4,6
8,62,No,5,1
9,83,Yes,6,8
3,84,No,8,3
4,93,Yes,6,9
9,84,No,8,5
7,42,Yes,6,8
1,42,Yes,5,8
9,99,Yes,8,1
1,54,Yes,5,1
7,47,No,7,6
8,92,No,5,0
9,92,No,8,6
6,57,No,4,0
7,69,Yes,8,8
6,42,No,7,8
9,45,Yes,4,9
7,77,Yes,7,4
1,82,Yes,4,4
1,57,Yes,6,6
5,95,No,6,4
3,66,Yes,6,9
2,79,Yes,4,5
5,68,Yes,6,2
2,94,No,4,5
6,85,Yes,4,0
5,66,Yes,5,4
6,72,Yes,5,1
4,72,No,6,4
5,83,No,6,5
7,40,Yes,7,9
5,89,Yes,7,1
8,73,No,9,7
9,64,Yes,6,3
3,54,Yes,6,6
1,82,Yes,9,6
8,89,No,8,7
1,94,Yes,6,4
9,98,Yes,9,3
6,89,No,7,7
9,91,Yes,5,3
5,49,Yes,4,5
6,60,Yes,9,3
9,54,No,8,1
9,95,Yes,5,0
6,44,No,9,0
6,64,Yes,4,3
6,95,Yes,8,4
2,61,Yes,9,0
7,64,Yes,7,0
1,48,No,4,0
9,66,Yes,5,3
3,58,No,5,8
3,77,No,8,6
4,54,Yes,6,8
2,84,Yes,4,8
7,44,No,6,7
2,63,Yes,5,0
2,94,Yes,8,0
5,98,No,6,1
8,67,Yes,4,3
8,51,Yes,4,6
6,77,Yes,8,9
1,83,Yes,9,0
7,99,No,8,7
3,84,No,9,3
2,75,No,9,9
1,45,No,9,6
8,77,No,8,5
2,98,No,8,7
1,46,No,4,7
4,95,No,5,6
4,62,No,7,4
8,91,Yes,4,6
9,54,No,9,3
7,57,No,5,2
5,59,Yes,6,8
1,85,No,9,6
8,88,No,7,2
4,71,No,5,5
2,93,No,7,4
2,60,Yes,8,7
1,96,No,9,5
3,88,No,9,0
9,69,Yes,4,4
9,93,Yes,8,3
5,98,No,8,5
6,64,No,9,9
7,77,No,8,3
8,91,No,9,5
9,96,No,7,0
9,96,No,7,8
6,54,Yes,8,1
7,91,No,9,3
2,83,Yes,6,2
9,74,Yes,8,2
4,91,No,4,9
4,40,Yes,6,7
5,73,No,6,0
3,52,Yes,5,7
8,97,Yes,5,2
5,48,No,8,8
2,89,Yes,9,4
1,49,No,7,3
4,95,Yes,6,4
2,87,No,6,9
1,48,No,8,2
7,92,Yes,4,0
1,42,No,4,7
2,69,No,8,8
1,83,No,7,4
1,49,Yes,9,9
4,57,No,4,3
9,85,Yes,4,0
9,57,Yes,7,2
2,73,Yes,5,6
2,62,No,5,1
2,92,No,8,5
5,40,No,6,5
8,77,No,8,9
5,78,Yes,4,1
5,46,Yes,7,8
2,57,No,6,1
9,43,No,4,7
4,91,No,6,7
6,48,Yes,6,6
7,47,Yes,9,6
8,57,No,6,1
8,81,No,4,5
6,85,Yes,7,0
3,65,No,5,8
9,79,No,9,2
2,61,No,5,6
3,83,Yes,4,8
5,86,Yes,7,6
2,60,No,4,3
8,87,Yes,9,1
5,65,Yes,6,5
1,75,Yes,8,2
3,54,No,7,6
8,99,Yes,6,3
6,70,Yes,7,3
1,86,Yes,7,3
4,73,No,4,8
1,41,No,4,3
3,81,No,6,3
5,69,No,8,1
5,47,No,4,7
4,91,Yes,4,3
3,46,No,7,4
5,51,No,7,7
4,97,No,6,3
8,58,Yes,7,4
8,67,Yes,9,5
5,53,No,9,2
4,53,Yes,9,8
3,45,Yes,7,4
2,53,No,4,4
9,52,Yes,5,4
1,66,Yes,6,3
1,74,Yes,8,0
2,41,No,9,5
3,87,No,6,3
9,40,No,4,0
6,77,No,7,0
4,90,No,5,9
8,84,No,9,5
9,63,No,9,7
7,49,No,6,0
3,74,Yes,8,7
6,46,No,5,3
2,74,No,6,2
7,56,Yes,7,8
5,54,No,9,4
8,51,No,7,8
3,62,Yes,6,6
7,65,Yes,4,8
9,44,Yes,5,6
7,70,No,4,8
7,93,No,6,8
5,45,Yes,7,4
6,84,Yes,9,2
4,47,Yes,9,9
7,87,Yes,4,7
9,96,Yes,7,4
5,54,No,5,3
9,43,Yes,8,6
9,76,Yes,4,0
3,49,No,6,0
9,45,Yes,7,4
3,43,Yes,8,4
9,93,Yes,5,2
6,95,No,5,6
2,79,Yes,7,9
8,65,No,8,3
1,81,No,6,6
8,52,No,5,0
1,61,Yes,7,9
2,88,No,5,1
6,44,Yes,5,1
9,77,Yes,7,5
2,50,No,4,1
4,77,Yes,8,6
8,83,Yes,4,2
7,64,Yes,8,0
8,91,No,8,4
6,54,Yes,6,6
3,56,No,9,7
1,42,No,9,2
7,91,Yes,4,9
2,77,Yes,5,0
8,40,No,7,0
6,46,Yes,4,1
7,65,Yes,6,3
6,78,Yes,6,3
3,94,No,9,0
9,66,No,4,2
5,87,Yes,7,0
4,49,Yes,6,1
6,58,Yes,9,9
2,55,No,8,1
6,67,No,5,5
2,60,Yes,6,5
7,47,No,6,7
9,49,No,9,4
8,49,No,4,0
5,72,No,5,7
8,95,Yes,6,2
3,92,No,4,4
6,63,Yes,9,6
7,75,Yes,5,1
5,70,Yes,4,6
8,56,No,9,4
9,98,Yes,8,9
7,87,Yes,8,2
9,47,Yes,9,8
6,71,Yes,4,7
9,86,Yes,6,9
5,77,Yes,5,8
9,93,Yes,8,6
1,51,Yes,5,2
7,67,No,5,2
9,94,No,9,5
9,95,No,5,1
6,96,No,6,3
8,42,No,8,4
4,58,Yes,4,7
5,49,No,6,6
8,69,No,5,7
4,99,No,5,3
4,63,Yes,9,1
8,65,No,4,8
6,75,Yes,4,0
6,99,Yes,8,7
6,87,Yes,6,6
1,63,Yes,8,3
5,54,Yes,5,1
9,90,Yes,9,8
9,40,No,5,7
1,61,Yes,9,3
8,90,Yes,7,5
1,79,Yes,4,3
8,94,No,7,4
3,88,No,9,8
3,94,Yes,7,5
8,60,No,4,6
4,77,Yes,7,5
2,61,Yes,5,3
4,93,Yes,8,8
6,82,Yes,9,3
6,41,No,4,1
5,96,No,7,0
7,57,No,7,7
4,87,No,8,5
6,64,Yes,7,4
5,98,Yes,6,3
4,61,Yes,7,1
9,54,No,5,3
4,84,Yes,9,2
8,95,Yes,8,9
9,80,No,9,2
8,45,Yes,6,1
7,50,No,6,9
3,77,No,8,4
9,47,Yes,9,1
3,83,No,8,4
6,97,Yes,5,9
6,42,No,8,1
2,52,No,6,0
2,88,No,5,4
1,55,No,6,2
6,52,No,4,1
9,98,Yes,8,1
7,56,No,9,5
6,70,Yes,4,4
6,54,Yes,4,1
4,59,Yes,4,7
1,76,Yes,9,7
4,43,Yes,6,3
8,87,No,5,8
4,87,No,5,0
3,84,Yes,9,4
8,41,No,8,5
2,57,No,9,6
1,88,No,9,8
3,47,Yes,4,5
3,41,No,9,6
1,68,No,5,9
4,66,Yes,5,4
2,73,No,4,0
7,56,Yes,9,4
1,62,No,6,6
3,72,Yes,5,2
1,51,No,7,3
6,78,Yes,7,3
9,54,Yes,8,6
3,40,No,6,1
4,83,Yes,4,6
2,96,No,7,5
1,73,No,5,6
7,56,Yes,6,5
8,99,Yes,6,1
8,85,No,5,1
8,40,No,7,3
1,96,Yes,4,2
1,80,Yes,7,0
9,90,No,6,9
6,86,Yes,6,1
2,52,No,6,0
1,98,Yes,9,6
5,92,No,5,9
7,49,No,5,4
2,41,Yes,7,4
3,49,Yes,4,0
3,79,No,9,3
8,64,Yes,6,1
2,47,Yes,6,3
2,60,Yes,8,0
8,61,Yes,8,7
7,84,No,7,9
5,66,Yes,5,4
5,81,No,8,0
9,96,Yes,8,9
3,47,No,4,2
4,95,Yes,5,6
1,57,No,4,6
4,81,Yes,9,8
3,92,No,5,0
3,71,No,5,3
8,67,No,9,4
3,94,Yes,5,4
7,71,Yes,8,8
8,79,Yes,6,0
9,47,No,8,8
